fullVisitorId,channelGrouping,device.deviceCategory,n_sessions,totals.hits,totals.pageviews,bounce_prop,weekend_prop,cluster,cluster_name
26286046518884836,Social,desktop,3,1.0,1.0,0.6666666666666666,0.0,1,Desktop Frecuente
26329820781202527,Referral,desktop,2,20.0,15.0,0.0,0.0,0,Desktop Engaged
26401348536755877,Referral,desktop,9,6.0,4.0,0.0,0.0,1,Desktop Frecuente
27729301290398668,Direct,desktop,2,16.5,13.0,0.5,0.0,1,Desktop Frecuente
27819532062608348,Organic Search,desktop,5,19.0,15.0,0.2,0.0,1,Desktop Frecuente
28714765282885780,Referral,desktop,7,6.0,6.0,0.0,0.0,1,Desktop Frecuente
28920166996312450,Referral,desktop,12,1.0,1.0,0.75,0.0833333333333333,1,Desktop Frecuente
28984301129433960,Organic Search,desktop,1,15.0,12.0,0.0,0.0,0,Desktop Engaged
29131400687020410,Referral,desktop,4,16.0,12.0,0.25,0.0,1,Desktop Frecuente
29534875378731789,Direct,desktop,2,72.0,46.5,0.0,0.5,2,Weekend Warriors
29617802319560280,Social,desktop,1,54.0,40.0,0.0,0.0,0,Desktop Engaged
30596413607230095,Direct,desktop,9,4.0,4.0,0.1111111111111111,0.1111111111111111,1,Desktop Frecuente
30600107416389173,Referral,desktop,2,11.0,9.5,0.0,0.0,0,Desktop Engaged
31037404193448771,Organic Search,desktop,3,29.0,19.0,0.0,0.0,0,Desktop Engaged
31607904142435840,Referral,desktop,4,14.0,13.0,0.0,0.0,1,Desktop Frecuente
31812050678769251,Direct,mobile,1,19.0,15.0,0.0,0.0,3,Mobile Users
32080452871669006,Direct,desktop,2,26.5,21.0,0.0,0.0,0,Desktop Engaged
32285388804234573,Direct,desktop,1,28.0,26.0,0.0,0.0,0,Desktop Engaged
32288790526152703,Direct,desktop,1,9.0,8.0,0.0,0.0,0,Desktop Engaged
32417370717978320,Referral,desktop,3,21.0,19.0,0.0,0.0,0,Desktop Engaged
32604353961096725,Organic Search,desktop,2,17.0,14.5,0.0,0.0,0,Desktop Engaged
32658239211545930,Direct,mobile,2,10.0,10.0,0.5,0.0,3,Mobile Users
32664267931257576,Organic Search,desktop,4,7.5,6.0,0.0,0.0,1,Desktop Frecuente
32685444859747984,Direct,desktop,3,9.0,9.0,0.0,0.0,1,Desktop Frecuente
33024620802809684,Referral,desktop,5,36.0,20.0,0.0,0.0,0,Desktop Engaged
34988778973749269,Organic Search,desktop,7,5.0,5.0,0.0,0.0,1,Desktop Frecuente
35322769016923863,Referral,desktop,1,116.0,90.0,0.0,0.0,0,Desktop Engaged
35660671109530802,Referral,desktop,2,21.0,15.0,0.0,0.5,2,Weekend Warriors
36131108463384213,Organic Search,desktop,1,23.0,18.0,0.0,0.0,0,Desktop Engaged
36194035121102485,Direct,desktop,2,10.5,9.5,0.5,0.0,1,Desktop Frecuente
36266427154622625,Referral,desktop,1,28.0,23.0,0.0,0.0,0,Desktop Engaged
36417634769000138,Organic Search,desktop,4,22.0,18.0,0.0,0.0,0,Desktop Engaged
36419370338727902,Referral,desktop,1,41.0,34.0,0.0,0.0,0,Desktop Engaged
36515130282846944,Organic Search,desktop,2,35.5,31.5,0.5,0.0,0,Desktop Engaged
36617629525523089,Referral,desktop,3,12.0,12.0,0.0,1.0,2,Weekend Warriors
36703532725992752,Referral,desktop,4,11.5,8.0,0.0,0.25,1,Desktop Frecuente
36810350983196519,Referral,desktop,6,9.0,7.5,0.0,0.1666666666666666,1,Desktop Frecuente
37220895437756047,Referral,desktop,4,9.0,8.5,0.25,0.0,1,Desktop Frecuente
37518757923116572,Referral,desktop,3,14.0,9.0,0.0,0.3333333333333333,1,Desktop Frecuente
37806222406366969,Organic Search,desktop,1,23.0,21.0,0.0,0.0,0,Desktop Engaged
38111265827681261,Direct,desktop,2,42.0,32.0,0.0,0.0,0,Desktop Engaged
38208004954801781,Organic Search,desktop,1,15.0,12.0,0.0,1.0,2,Weekend Warriors
38212114833888799,Paid Search,desktop,2,8.5,8.0,0.0,0.0,1,Desktop Frecuente
39194810552478835,Direct,desktop,2,11.0,10.5,0.0,0.5,2,Weekend Warriors
39355803762628039,Referral,desktop,2,20.5,17.0,0.0,1.0,2,Weekend Warriors
39400440658825933,Referral,desktop,4,7.0,6.0,0.25,0.25,1,Desktop Frecuente
39541267107154262,Organic Search,desktop,3,29.0,22.0,0.0,0.3333333333333333,0,Desktop Engaged
39844092206555576,Direct,desktop,2,20.5,16.0,0.0,0.0,0,Desktop Engaged
40332680018799680,Referral,desktop,1,88.0,65.0,0.0,0.0,0,Desktop Engaged
40361081244991496,Direct,desktop,5,14.0,14.0,0.2,0.0,1,Desktop Frecuente
41938820295489339,Paid Search,desktop,7,5.0,5.0,0.0,0.0,1,Desktop Frecuente
41955139058139143,Referral,desktop,9,8.0,8.0,0.0,0.6666666666666666,1,Desktop Frecuente
42057117403474149,Referral,desktop,1,21.0,17.0,0.0,0.0,0,Desktop Engaged
42122995088591617,Paid Search,desktop,1,38.0,30.0,0.0,0.0,0,Desktop Engaged
42147785799333528,Referral,desktop,1,57.0,34.0,0.0,0.0,0,Desktop Engaged
42744959300558986,Referral,desktop,6,15.5,12.5,0.0,0.0,1,Desktop Frecuente
42872006688710090,Direct,desktop,1,25.0,20.0,0.0,0.0,0,Desktop Engaged
43584487743669327,Referral,desktop,4,28.0,18.5,0.0,0.0,0,Desktop Engaged
43770390702768717,Direct,desktop,2,17.5,14.0,0.0,0.0,0,Desktop Engaged
43984908262145271,Referral,desktop,2,9.0,7.5,0.0,0.0,1,Desktop Frecuente
44206379216818403,Referral,desktop,1,49.0,41.0,0.0,0.0,0,Desktop Engaged
44860406295705915,Referral,desktop,3,16.0,14.0,0.0,0.3333333333333333,1,Desktop Frecuente
44869357011346837,Organic Search,desktop,1,33.0,29.0,0.0,1.0,2,Weekend Warriors
45204488424585972,Direct,desktop,2,5.5,4.5,0.5,0.0,1,Desktop Frecuente
45411762601202035,Organic Search,desktop,2,13.5,11.5,0.5,0.0,1,Desktop Frecuente
45695832453548364,Referral,desktop,4,17.0,13.0,0.0,0.0,1,Desktop Frecuente
47078955120420928,Referral,desktop,1,28.0,21.0,0.0,0.0,0,Desktop Engaged
47096740790346861,Organic Search,desktop,2,45.0,35.0,0.0,0.5,2,Weekend Warriors
47471876951764213,Paid Search,desktop,1,18.0,16.0,0.0,0.0,0,Desktop Engaged
47507722101025881,Organic Search,desktop,1,24.0,20.0,0.0,0.0,0,Desktop Engaged
47509547902079820,Direct,desktop,4,25.5,21.0,0.0,0.0,0,Desktop Engaged
47511660497565285,Paid Search,desktop,1,123.0,93.0,0.0,0.0,0,Desktop Engaged
47868538532140235,Direct,desktop,9,6.0,6.0,0.0,0.0,1,Desktop Frecuente
48002411086393228,Referral,desktop,1,28.0,21.0,0.0,1.0,2,Weekend Warriors
48315652365779540,Referral,desktop,4,14.5,12.0,0.0,0.5,1,Desktop Frecuente
49618887282998852,Organic Search,mobile,1,45.0,34.0,0.0,1.0,3,Mobile Users
49628940161747998,Direct,mobile,3,1.0,1.0,0.6666666666666666,0.0,3,Mobile Users
49832664882617771,Referral,desktop,2,14.5,13.0,0.0,1.0,2,Weekend Warriors
51204193313789401,Direct,desktop,1,31.0,23.0,0.0,0.0,0,Desktop Engaged
51257374560700342,Referral,desktop,8,3.5,3.5,0.0,0.0,1,Desktop Frecuente
51312971389642254,Referral,desktop,1,24.0,21.0,0.0,0.0,0,Desktop Engaged
51516119104547275,Organic Search,desktop,1,16.0,14.0,0.0,0.0,0,Desktop Engaged
52757360225662149,Organic Search,desktop,3,6.0,6.0,0.3333333333333333,0.0,1,Desktop Frecuente
52868681653220057,Direct,mobile,1,46.0,42.0,0.0,0.0,3,Mobile Users
52947395050573230,Organic Search,desktop,6,10.0,10.0,0.0,0.0,1,Desktop Frecuente
53010816158486672,Referral,desktop,3,9.0,5.0,0.3333333333333333,0.0,1,Desktop Frecuente
53077699040878872,Organic Search,desktop,1,13.0,11.0,0.0,0.0,0,Desktop Engaged
53534274976399191,Referral,desktop,2,30.0,23.5,0.0,0.0,0,Desktop Engaged
53544367470918772,Display,desktop,4,9.5,8.5,0.0,0.0,1,Desktop Frecuente
53866968780969645,Organic Search,desktop,1,39.0,30.0,0.0,0.0,0,Desktop Engaged
54279989591037024,Referral,desktop,3,11.0,11.0,0.3333333333333333,0.3333333333333333,1,Desktop Frecuente
54330779667294142,Direct,desktop,2,14.5,11.5,0.5,0.0,1,Desktop Frecuente
54391506396728030,Referral,desktop,3,10.0,9.0,0.0,0.0,1,Desktop Frecuente
54635571205456448,Organic Search,desktop,1,45.0,36.0,0.0,1.0,2,Weekend Warriors
54873055567921661,Direct,desktop,3,16.0,11.0,0.3333333333333333,0.0,1,Desktop Frecuente
55230885834366137,Organic Search,desktop,1,49.0,35.0,0.0,1.0,2,Weekend Warriors
55571790399340202,Organic Search,desktop,4,40.5,29.0,0.0,0.0,0,Desktop Engaged
55817731640677436,Organic Search,desktop,1,63.0,52.0,0.0,0.0,0,Desktop Engaged
56623046680377668,Organic Search,desktop,2,8.5,8.0,0.0,0.5,1,Desktop Frecuente
56746998029721050,Organic Search,desktop,7,3.0,2.0,0.4285714285714285,0.0,1,Desktop Frecuente
57074893306125434,Referral,desktop,2,23.5,18.5,0.0,0.0,0,Desktop Engaged
57216119262557235,Referral,desktop,2,28.5,23.5,0.0,0.0,0,Desktop Engaged
57601461431341521,Direct,desktop,6,6.5,5.5,0.0,0.0,1,Desktop Frecuente
57601503302114470,Referral,desktop,1,60.0,46.0,0.0,0.0,0,Desktop Engaged
57693500927581077,Referral,desktop,4,55.5,39.5,0.25,0.75,2,Weekend Warriors
57826677844639343,Organic Search,desktop,3,13.0,10.0,0.3333333333333333,0.3333333333333333,1,Desktop Frecuente
58062449645143625,Referral,desktop,2,19.5,15.0,0.0,0.0,0,Desktop Engaged
59545191328861629,Organic Search,desktop,4,10.0,10.0,0.25,0.0,1,Desktop Frecuente
60208176042336566,Direct,desktop,2,18.0,17.0,0.5,0.0,1,Desktop Frecuente
60402135554655326,Direct,desktop,8,22.5,19.0,0.375,0.375,1,Desktop Frecuente
60552898118020687,Referral,desktop,6,4.5,4.0,0.0,0.3333333333333333,1,Desktop Frecuente
60637300837021971,Organic Search,mobile,1,31.0,29.0,0.0,0.0,3,Mobile Users
60707564057653567,Organic Search,desktop,1,25.0,18.0,0.0,0.0,0,Desktop Engaged
60709694942461401,Referral,desktop,3,4.0,4.0,0.3333333333333333,0.6666666666666666,1,Desktop Frecuente
60802643524541285,Organic Search,mobile,4,3.0,2.0,0.5,0.5,3,Mobile Users
60873674881142784,Referral,desktop,6,4.5,4.5,0.3333333333333333,0.0,1,Desktop Frecuente
61519776091452595,Organic Search,desktop,3,30.0,24.0,0.0,0.3333333333333333,0,Desktop Engaged
61548717459564263,Referral,desktop,3,4.0,4.0,0.0,0.6666666666666666,1,Desktop Frecuente
61892085087294527,Organic Search,desktop,6,5.5,4.0,0.3333333333333333,0.5,1,Desktop Frecuente
62301548425288744,Direct,desktop,3,61.0,46.0,0.0,0.0,0,Desktop Engaged
62337808774510362,Display,desktop,7,7.0,6.0,0.1428571428571428,0.0,1,Desktop Frecuente
62398744583501057,Referral,desktop,1,83.0,57.0,0.0,0.0,0,Desktop Engaged
62722204677243801,Referral,desktop,3,12.0,9.0,0.0,0.0,1,Desktop Frecuente
63411837669447330,Social,desktop,1,23.0,17.0,0.0,0.0,0,Desktop Engaged
63706256894298571,Referral,desktop,2,27.0,12.0,0.0,0.5,2,Weekend Warriors
63736161805998675,Organic Search,desktop,5,5.0,5.0,0.0,0.0,1,Desktop Frecuente
64739735733627926,Organic Search,desktop,6,2.5,2.0,0.5,0.3333333333333333,1,Desktop Frecuente
65245131914018329,Referral,desktop,1,43.0,34.0,0.0,0.0,0,Desktop Engaged
66547844041573580,Display,desktop,13,2.0,2.0,0.3076923076923077,0.1538461538461538,1,Desktop Frecuente
67046950690742012,Paid Search,desktop,3,19.0,19.0,0.0,0.0,0,Desktop Engaged
67144867645757015,Organic Search,mobile,1,59.0,50.0,0.0,0.0,3,Mobile Users
67427211374180015,Organic Search,desktop,2,27.0,20.0,0.0,0.0,0,Desktop Engaged
67475292701707948,Referral,desktop,4,13.5,11.0,0.0,0.0,1,Desktop Frecuente
67516997967648879,Referral,desktop,4,30.0,22.0,0.0,0.0,0,Desktop Engaged
67566216922331849,Referral,desktop,2,9.0,7.5,0.0,0.0,1,Desktop Frecuente
67586620214837441,Paid Search,desktop,2,16.0,14.5,0.0,0.0,0,Desktop Engaged
68301324269312205,Organic Search,desktop,3,3.0,3.0,0.0,0.0,1,Desktop Frecuente
68337214858488115,Referral,desktop,3,29.0,25.0,0.3333333333333333,0.0,0,Desktop Engaged
68437640696494161,Organic Search,desktop,3,15.0,15.0,0.3333333333333333,0.0,1,Desktop Frecuente
68546456225736307,Paid Search,desktop,4,15.5,12.0,0.0,0.75,2,Weekend Warriors
68590151265795437,Direct,desktop,3,10.0,10.0,0.0,0.0,1,Desktop Frecuente
68932429089394729,Organic Search,desktop,3,27.0,18.0,0.0,0.0,0,Desktop Engaged
69147671341681060,Referral,desktop,2,24.5,18.0,0.5,0.0,0,Desktop Engaged
69563023975860043,Organic Search,desktop,4,8.5,7.5,0.0,0.0,1,Desktop Frecuente
69780920436052632,Direct,desktop,7,6.0,4.0,0.2857142857142857,0.0,1,Desktop Frecuente
69932627935135372,Referral,desktop,2,20.5,15.0,0.5,0.0,0,Desktop Engaged
69975515256019300,Referral,desktop,2,39.5,27.0,0.0,0.0,0,Desktop Engaged
70622933908011467,Referral,desktop,2,14.0,12.0,0.0,0.0,0,Desktop Engaged
70749496194697211,Referral,desktop,2,14.5,12.5,0.0,0.0,0,Desktop Engaged
70893140406305841,Referral,desktop,1,76.0,33.0,0.0,0.0,0,Desktop Engaged
70976956518566605,Referral,desktop,5,5.0,5.0,0.2,0.0,1,Desktop Frecuente
71298010648822329,Direct,desktop,11,16.0,12.0,0.0909090909090909,0.0909090909090909,1,Desktop Frecuente
71731629789524187,Organic Search,desktop,1,25.0,18.0,0.0,0.0,0,Desktop Engaged
71915269577377513,Organic Search,desktop,3,26.0,19.0,0.0,0.0,0,Desktop Engaged
72256802357894342,Referral,desktop,2,9.0,9.0,0.0,0.0,1,Desktop Frecuente
72595322994470645,Referral,desktop,6,10.5,8.5,0.1666666666666666,0.0,1,Desktop Frecuente
72816889761746008,Organic Search,tablet,2,48.0,20.0,0.5,0.0,3,Mobile Users
72871379479619546,Organic Search,desktop,5,4.0,4.0,0.2,0.0,1,Desktop Frecuente
72871522029318255,Direct,desktop,3,12.0,12.0,0.0,0.0,1,Desktop Frecuente
72965257504694282,Referral,desktop,5,1.0,1.0,0.6,0.0,1,Desktop Frecuente
74075706296764845,Display,desktop,4,13.0,9.5,0.0,0.0,1,Desktop Frecuente
74650632244292633,Organic Search,desktop,4,10.5,8.0,0.0,0.0,1,Desktop Frecuente
74766195217803929,Organic Search,desktop,1,66.0,45.0,0.0,0.0,0,Desktop Engaged
75015293465008373,Paid Search,desktop,1,24.0,22.0,0.0,0.0,0,Desktop Engaged
75154193118539969,Organic Search,desktop,1,23.0,19.0,0.0,0.0,0,Desktop Engaged
75338234785752253,Display,desktop,1,44.0,36.0,0.0,0.0,0,Desktop Engaged
75449012662152580,Referral,desktop,5,4.0,2.0,0.2,0.0,1,Desktop Frecuente
76255265047374256,Referral,desktop,1,23.0,20.0,0.0,0.0,0,Desktop Engaged
76529729049367813,Referral,desktop,7,2.0,2.0,0.2857142857142857,0.0,1,Desktop Frecuente
77222285299709169,Organic Search,desktop,4,23.0,19.5,0.25,0.0,1,Desktop Frecuente
77910788641080085,Direct,desktop,8,5.0,4.5,0.25,0.0,1,Desktop Frecuente
79204932396995037,Organic Search,desktop,8,12.0,9.0,0.0,0.0,1,Desktop Frecuente
79363053947930450,Organic Search,desktop,1,81.0,62.0,0.0,0.0,0,Desktop Engaged
79455793222269162,Referral,desktop,3,6.0,6.0,0.3333333333333333,0.0,1,Desktop Frecuente
79475762358903551,Direct,desktop,4,17.5,15.5,0.0,0.0,1,Desktop Frecuente
79656074413776629,Referral,desktop,3,25.0,21.0,0.3333333333333333,0.3333333333333333,1,Desktop Frecuente
79827535407240779,Direct,desktop,9,8.0,6.0,0.0,0.0,1,Desktop Frecuente
79867210646960655,Organic Search,desktop,2,13.0,9.5,0.0,0.0,0,Desktop Engaged
80317544461352905,Organic Search,desktop,2,11.0,10.5,0.0,0.0,0,Desktop Engaged
80479763428955064,Organic Search,desktop,3,5.0,5.0,0.0,0.0,1,Desktop Frecuente
80533986466271934,Display,desktop,18,4.0,4.0,0.0555555555555555,0.0,1,Desktop Frecuente
81281456829886913,Referral,desktop,6,9.0,6.5,0.0,0.6666666666666666,1,Desktop Frecuente
81556422471965129,Referral,desktop,2,26.0,19.5,0.0,0.0,0,Desktop Engaged
81840705529000272,Referral,desktop,7,7.0,7.0,0.0,0.1428571428571428,1,Desktop Frecuente
81985686030532619,Direct,desktop,3,114.0,89.0,0.0,0.0,0,Desktop Engaged
82234340449923799,Organic Search,desktop,5,7.0,5.0,0.2,0.0,1,Desktop Frecuente
82422266360134560,Referral,desktop,2,37.5,27.5,0.0,0.0,0,Desktop Engaged
82806901961150595,Referral,desktop,1,75.0,51.0,0.0,0.0,0,Desktop Engaged
83055806370747628,Referral,desktop,2,13.5,11.5,0.0,0.0,0,Desktop Engaged
83964139069484153,Organic Search,desktop,1,22.0,19.0,0.0,0.0,0,Desktop Engaged
84372863075461291,Direct,desktop,1,16.0,15.0,0.0,0.0,0,Desktop Engaged
84383590795093998,Referral,desktop,1,26.0,21.0,0.0,0.0,0,Desktop Engaged
84741906853491251,Referral,desktop,5,16.0,13.0,0.2,0.0,1,Desktop Frecuente
84834161383601528,Referral,desktop,4,18.5,15.5,0.0,0.0,1,Desktop Frecuente
85057281729508802,Organic Search,desktop,14,9.0,7.5,0.0,0.0,1,Desktop Frecuente
85193654581094288,Direct,desktop,3,10.0,7.0,0.0,0.0,1,Desktop Frecuente
85319952392271706,Referral,desktop,1,48.0,36.0,0.0,0.0,0,Desktop Engaged
85830972238265715,Organic Search,desktop,6,3.0,3.0,0.0,0.0,1,Desktop Frecuente
85857472938612779,Referral,desktop,4,6.5,6.0,0.5,0.0,1,Desktop Frecuente
86102919761743448,Referral,desktop,5,2.0,2.0,0.4,0.0,1,Desktop Frecuente
86382053515995633,Organic Search,desktop,2,70.0,52.0,0.0,0.0,0,Desktop Engaged
86439549065030167,Referral,desktop,1,30.0,25.0,0.0,0.0,0,Desktop Engaged
87422696443112888,Referral,desktop,3,9.0,9.0,0.3333333333333333,0.3333333333333333,1,Desktop Frecuente
87919605807565397,Organic Search,desktop,1,33.0,25.0,0.0,0.0,0,Desktop Engaged
88657980877164102,Referral,desktop,1,14.0,14.0,0.0,0.0,0,Desktop Engaged
88808220383842202,Organic Search,desktop,2,119.0,87.0,0.0,0.5,2,Weekend Warriors
88945266147609238,Referral,desktop,4,22.5,17.0,0.25,0.0,1,Desktop Frecuente
89261173995807343,Paid Search,desktop,5,2.0,2.0,0.4,0.0,1,Desktop Frecuente
89893008278013433,Organic Search,desktop,1,16.0,15.0,0.0,0.0,0,Desktop Engaged
90053188432158994,Direct,desktop,4,7.0,6.0,0.0,0.0,1,Desktop Frecuente
90327840318017838,Organic Search,desktop,1,27.0,24.0,0.0,0.0,0,Desktop Engaged
91281264079346677,Organic Search,mobile,1,25.0,17.0,0.0,0.0,3,Mobile Users
91725120799498455,Referral,desktop,2,17.0,12.0,0.0,0.0,0,Desktop Engaged
91784190289128568,Organic Search,desktop,3,3.0,3.0,0.0,0.3333333333333333,1,Desktop Frecuente
91992348252102887,Referral,desktop,2,45.0,33.5,0.0,0.0,0,Desktop Engaged
92577710025173656,Organic Search,desktop,4,40.5,32.5,0.0,0.0,0,Desktop Engaged
92787485928461155,Referral,desktop,2,11.0,8.0,0.5,0.0,1,Desktop Frecuente
92836986022494187,Direct,desktop,4,11.0,9.5,0.25,0.0,1,Desktop Frecuente
93310453484553750,Referral,desktop,1,21.0,21.0,0.0,0.0,0,Desktop Engaged
94024465151480107,Organic Search,desktop,8,12.0,10.5,0.0,0.5,1,Desktop Frecuente
94073617799666175,Referral,desktop,1,23.0,17.0,0.0,0.0,0,Desktop Engaged
94314192369270538,Referral,desktop,3,3.0,3.0,0.0,0.6666666666666666,1,Desktop Frecuente
94901025743788716,Referral,desktop,2,10.5,9.5,0.0,0.0,1,Desktop Frecuente
95069773067468232,Organic Search,desktop,2,17.0,15.0,0.0,1.0,2,Weekend Warriors
95747507496204221,Referral,desktop,5,3.0,3.0,0.4,0.0,1,Desktop Frecuente
